rainfall,soil_moisture,slope,elevation,soil_type,previous_landslide,landslide
67.5,49.0,19.0,885,clay,0,0
212.5,89.9,46.7,1852,clay,1,1
16.5,24.2,9.1,245,sand,0,0
172.5,80.6,38.6,1518,gravelly,1,1
71.5,51.2,20.9,935,loam,0,0
184.5,84.0,41.4,1642,clay,1,1
43.5,37.2,14.6,605,silt,0,0
218.5,90.6,47.9,1872,clay,1,1
25.5,28.2,10.6,345,sand,0,0
162.5,77.0,36.4,1448,loam,1,1
77.5,53.0,22.1,978,silt,0,0
190.5,85.0,41.8,1670,gravelly,1,1
31.5,30.2,11.9,410,sand,0,0
150.5,70.8,33.0,1315,clay,1,1
90.5,59.2,24.6,1085,loam,0,0
204.5,88.2,45.0,1770,clay,1,1
38.5,34.8,13.8,550,silt,0,0
179.5,83.8,41.2,1622,gravelly,1,1
59.5,44.8,17.4,815,loam,0,0
221.5,91.5,48.4,1892,clay,1,1
13.5,21.8,8.1,205,sand,0,0
171.5,80.1,38.3,1508,clay,1,1
73.5,51.9,21.4,952,silt,0,0
197.5,87.1,43.9,1718,gravelly,1,1
28.5,29.4,11.3,378,sand,0,0
157.5,74.8,34.9,1398,loam,1,1
66.5,48.8,18.9,878,silt,0,0
216.5,90.4,47.4,1862,clay,1,1
15.0,23.0,8.6,225,sand,0,0
174.5,81.6,39.4,1532,gravelly,1,1
79.5,54.0,22.7,988,loam,0,0
186.5,84.7,41.7,1658,clay,1,1
47.5,39.0,15.4,675,silt,0,0
228.5,93.6,49.8,1968,clay,1,1
22.5,27.0,10.0,318,sand,0,0
169.5,79.2,38.0,1502,clay,1,1
83.5,55.8,23.5,1012,silt,0,0
199.5,87.6,44.3,1735,gravelly,1,1
35.0,31.8,12.3,455,sand,0,0
156.5,74.6,35.4,1408,loam,1,1
67.0,49.1,19.1,882,clay,0,0
211.5,89.6,46.4,1856,clay,1,1
17.5,24.8,9.4,255,sand,0,0
173.5,81.2,39.0,1528,gravelly,1,1
72.0,51.4,21.1,942,loam,0,0
183.5,83.7,41.1,1638,clay,1,1
44.5,37.8,14.9,620,silt,0,0
219.5,90.9,48.1,1878,clay,1,1
26.0,28.4,10.5,348,sand,0,0
163.5,77.4,36.6,1452,loam,1,1
76.5,52.8,22.0,972,silt,0,0
192.5,85.6,42.6,1688,gravelly,1,1
32.0,30.6,12.0,432,sand,0,0
153.5,72.2,34.1,1372,clay,1,1
87.5,57.8,24.1,1045,loam,0,0
207.5,88.7,45.4,1788,clay,1,1
41.5,36.2,14.3,575,silt,0,0
181.5,84.3,41.9,1632,gravelly,1,1
62.5,46.2,18.0,835,sand,0,0
223.5,92.0,49.0,1915,clay,1,1
19.5,25.8,9.3,275,loam,0,0
170.0,79.1,37.9,1498,clay,1,1
81.5,54.8,23.0,998,silt,0,0
195.0,86.4,43.4,1702,gravelly,1,1
29.5,29.7,11.4,385,sand,0,0
159.5,75.8,35.6,1415,loam,1,1
68.0,49.4,19.4,875,clay,0,0
213.5,90.1,46.9,1848,clay,1,1
12.5,20.5,7.5,195,sand,0,0
175.5,82.2,39.6,1540,gravelly,1,1
74.5,52.4,21.6,958,loam,0,0
187.5,84.9,41.9,1662,clay,1,1
46.5,38.8,15.3,660,silt,0,0
222.5,91.9,48.9,1905,clay,1,1
21.5,26.8,9.9,300,sand,0,0
164.5,77.6,36.9,1465,clay,1,1
78.0,53.4,22.3,980,silt,0,0
191.5,85.4,42.2,1680,gravelly,1,1
34.5,31.2,12.3,445,sand,0,0
151.5,71.2,33.4,1325,loam,0,0
89.5,58.8,24.4,1070,clay,0,0
201.5,87.2,44.4,1738,clay,1,1
49.5,40.2,16.2,710,silt,0,0
178.5,81.2,39.6,1552,gravelly,1,1
58.5,43.8,17.2,805,loam,0,0
231.0,94.5,50.4,1985,clay,1,1
23.0,27.1,10.1,312,sand,0,0
166.0,78.0,37.3,1478,clay,1,1
80.0,54.1,22.5,990,silt,0,0
194.0,86.0,43.0,1690,gravelly,1,1
33.0,30.4,11.9,425,sand,0,0
154.0,72.8,34.4,1378,loam,1,1
66.0,48.4,18.7,870,clay,0,0
210.5,89.4,46.1,1850,clay,1,1
15.0,22.5,8.4,215,sand,0,0
172.0,80.4,38.4,1512,gravelly,1,1
70.5,50.8,20.7,925,loam,0,0
182.0,83.6,41.2,1632,clay,1,1
42.5,36.8,14.4,595,silt,0,0
217.5,90.4,47.7,1868,clay,1,1
27.0,28.9,10.9,362,sand,0,0
160.0,76.2,35.9,1430,loam,1,1
77.0,53.1,22.2,976,silt,0,0
190.0,85.1,41.9,1672,gravelly,1,1
31.0,30.0,11.7,405,sand,0,0
149.0,70.0,32.5,1300,clay,0,0
86.0,57.2,23.9,1035,loam,0,0
205.5,88.4,45.1,1775,clay,1,1
37.5,33.0,13.2,490,silt,0,0
177.0,80.9,39.3,1542,gravelly,1,1
55.0,42.0,16.2,780,loam,0,0
220.0,91.0,48.0,1880,clay,1,1
